#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
GPR101	83550	0.5000	0.9943	0.7390	0.2871	0.0000	0.0000	0.5000	0.5000	1.0000	0	Acromegaly (ORPHA:963): Pulmonary fibrosis (HP:0002206)-Wide nose (HP:0000445), Recurrent respiratory infections (HP:0002205)-Wide nose (HP:0000445), Exocrine pancreatic insufficiency (HP:0001738)-Anterior hypopituitarism (HP:0000830), 			Proximity to EPCAM associated with Lynch syndrome (ORPHA:144): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Exocrine pancreatic insufficiency (HP:0001738)-Pancreatic adenocarcinoma (HP:0006725), 	Proximity to EPCAM Malabsorption (HP:0002024)-abnormal intestine morphology (MP:0000477), Exocrine pancreatic insufficiency (HP:0001738)-abnormal intestine physiology (MP:0010155), 	Proximity to EPCAM Exocrine pancreatic insufficiency (HP:0001738)-abnormal(ly) disrupted liver development (ZP:0000217), 
CACNA1F	778	0.5003	0.9926	0.7366	0.0000	0.0000	0.0000	0.5003	0.5003	1.0000	0				Proximity to RASGRP1 associated with Autoimmune lymphoproliferative syndrome (ORPHA:3261): Malabsorption (HP:0002024)-Colitis (HP:0002583), Pulmonary fibrosis (HP:0002206)-Pulmonary fibrosis (HP:0002206), Recurrent respiratory infections (HP:0002205)-Pulmonary infiltrates (HP:0002113), Exocrine pancreatic insufficiency (HP:0001738)-Hepatocellular carcinoma (HP:0001402), 	Proximity to RASGRP1 Exocrine pancreatic insufficiency (HP:0001738)-enlarged liver (MP:0000599), 	
MXRA5	25878	0.5002	0.9921	0.7355	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to LRRC8A associated with Autosomal agammaglobulinemia (ORPHA:33110): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Recurrent respiratory infections (HP:0002205), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Diarrhea (HP:0002014), 	Proximity to LRRC8A Pulmonary fibrosis (HP:0002206)-abnormal lung morphology (MP:0001175), Recurrent respiratory infections (HP:0002205)-abnormal lung morphology (MP:0001175), 	
BCORL1	63035	0.5001	0.9908	0.7329	0.3159	0.0000	0.0000	0.5001	0.5001	1.0000	0	Shukla-Vernon syndrome (OMIM:301029): Malabsorption (HP:0002024)-Drooling (HP:0002307), Exocrine pancreatic insufficiency (HP:0001738)-Drooling (HP:0002307), 			Proximity to RFXANK associated with MHC class II deficiency, complementation group B (OMIM:209920): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Recurrent lower respiratory tract infections (HP:0002783), Recurrent respiratory infections (HP:0002205)-Recurrent lower respiratory tract infections (HP:0002783), Exocrine pancreatic insufficiency (HP:0001738)-Protracted diarrhea (HP:0004385), 		
ARHGAP36	158763	0.5006	0.9888	0.7302	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to FAM13A associated with Idiopathic pulmonary fibrosis (ORPHA:2032): Malabsorption (HP:0002024)-Gastroesophageal reflux (HP:0002020), Pulmonary fibrosis (HP:0002206)-Pulmonary fibrosis (HP:0002206), Recurrent respiratory infections (HP:0002205)-Pulmonary fibrosis (HP:0002206), Exocrine pancreatic insufficiency (HP:0001738)-Gastroesophageal reflux (HP:0002020), 		
ENOX2	10495	0.5000	0.9851	0.7224	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to SMAD4 associated with Familial pancreatic carcinoma (ORPHA:1333): Malabsorption (HP:0002024)-Functional intestinal obstruction (HP:0005249), Recurrent respiratory infections (HP:0002205)-Peritoneal abscess (HP:0100592), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Proximity to SMAD4 Malabsorption (HP:0002024)-abnormal large intestine morphology (MP:0000489), Pulmonary fibrosis (HP:0002206)-increased lung tumor incidence (MP:0008014), Recurrent respiratory infections (HP:0002205)-increased lung tumor incidence (MP:0008014), Exocrine pancreatic insufficiency (HP:0001738)-abnormal large intestine morphology (MP:0000489), 	
KIF4A	24137	0.5012	0.9797	0.7148	0.0000	0.0000	0.0000	0.5012	0.5012	1.0000	0				Proximity to ATP7A associated with Menkes disease (ORPHA:565): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Recurrent respiratory infections (HP:0002205)-Sepsis (HP:0100806), Exocrine pancreatic insufficiency (HP:0001738)-Nausea and vomiting (HP:0002017), 	Proximity to ATP7A Pulmonary fibrosis (HP:0002206)-dilated respiratory conducting tubes (MP:0010856), Recurrent respiratory infections (HP:0002205)-dilated respiratory conducting tubes (MP:0010856), 	
AMMECR1	9949	0.5000	0.9649	0.6837	0.2281	0.0000	0.0000	0.5000	0.5000	1.0000	0	Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome (ORPHA:86818): Pulmonary fibrosis (HP:0002206)-Anteverted nares (HP:0000463), Recurrent respiratory infections (HP:0002205)-Anteverted nares (HP:0000463), 			Proximity to CEL associated with MODY (ORPHA:552): Malabsorption (HP:0002024)-Exocrine pancreatic insufficiency (HP:0001738), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Proximity to CEL Malabsorption (HP:0002024)-abnormal intestinal lipid absorption (MP:0005342), Exocrine pancreatic insufficiency (HP:0001738)-abnormal intestinal lipid absorption (MP:0005342), 	
HTR2C	3358	0.5005	0.8947	0.5328	0.0000	0.0000	0.0000	0.5005	0.5005	1.0000	0				Proximity to TGFB1 associated with Cystic fibrosis (ORPHA:586): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Pulmonary fibrosis (HP:0002206), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Proximity to TGFB1 Malabsorption (HP:0002024)-colonic necrosis (MP:0001652), Pulmonary fibrosis (HP:0002206)-abnormal lung morphology (MP:0001175), Recurrent respiratory infections (HP:0002205)-interstitial pneumonia (MP:0001862), Exocrine pancreatic insufficiency (HP:0001738)-pancreas inflammation (MP:0001869), 	
CCNB3	85417	0.5001	0.8736	0.4834	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to CDCA7 associated with ICF syndrome (ORPHA:2268): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Recurrent respiratory infections (HP:0002205), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Malabsorption (HP:0002024), 		
