#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
PEX1	5189	0.7370	0.9292	0.9482	0.7370	0.4353	0.0000	0.5155	0.7370	1.0000	0	Neonatal adrenoleukodystrophy (ORPHA:44): Short stature (HP:0004322)-Short stature (HP:0004322), Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Wide nose (HP:0000445)-Anteverted nares (HP:0000463), Short nose (HP:0003196)-Anteverted nares (HP:0000463), 	Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Hypertelorism (HP:0000316)-abnormal rod electrophysiology (MP:0004021), 		Proximity to PEX26 associated with Neonatal adrenoleukodystrophy (ORPHA:44): Short stature (HP:0004322)-Short stature (HP:0004322), Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Wide nose (HP:0000445)-Anteverted nares (HP:0000463), Short nose (HP:0003196)-Anteverted nares (HP:0000463), 		
DHX37	57647	0.8867	0.6532	0.8729	0.8867	0.0000	0.0000	0.5038	0.8867	1.0000	0	Neurodevelopmental disorder with brain anomalies and with or without vertebral or cardiac anomalies (OMIM:618731): Broad neck (HP:0000475)-Broad neck (HP:0000475), Low-set, posteriorly rotated ears (HP:0000368)-Protruding ear (HP:0000411), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Anteverted nares (HP:0000463), Short nose (HP:0003196)-Anteverted nares (HP:0000463), 			Proximity to EXOSC9 associated with Pontocerebellar hypoplasia, type 1D (OMIM:618065): Short stature (HP:0004322)-Failure to thrive (HP:0001508), Broad neck (HP:0000475)-Short neck (HP:0000470), Low-set, posteriorly rotated ears (HP:0000368)-Low-set ears (HP:0000369), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Recurrent respiratory infections (HP:0002205), Short nose (HP:0003196)-Recurrent respiratory infections (HP:0002205), 		
SPECC1L	23384	0.7251	0.8042	0.8368	0.7251	0.0000	0.0000	0.0000	0.7251	1.0000	0	Hypertelorism, Teebi type (ORPHA:1519): Low-set, posteriorly rotated ears (HP:0000368)-Low-set ears (HP:0000369), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Short nose (HP:0003196), Short nose (HP:0003196)-Short nose (HP:0003196), 					
DMXL2	23312	0.5483	1.0000	0.8313	0.4029	0.0000	0.0000	0.5483	0.5483	1.0000	0	?Polyendocrine-polyneuropathy syndrome (OMIM:616113): Short stature (HP:0004322)-Short stature (HP:0004322), 			Proximity to RAB3GAP1 associated with Cataract-intellectual disability-hypogonadism syndrome (ORPHA:1387): Short stature (HP:0004322)-Short stature (HP:0004322), Broad neck (HP:0000475)-Low posterior hairline (HP:0002162), Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Hypertelorism (HP:0000316)-Hypotelorism (HP:0000601), Wide nose (HP:0000445)-Depressed nasal bridge (HP:0005280), Short nose (HP:0003196)-Depressed nasal bridge (HP:0005280), 		
AHI1	54806	0.6863	0.7929	0.7555	0.6863	0.3537	0.2630	0.5179	0.6863	1.0000	0	Joubert syndrome with ocular defect (ORPHA:220493): Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Wide nose (HP:0000445)-Anteverted nares (HP:0000463), Short nose (HP:0003196)-Anteverted nares (HP:0000463), 	Hypertelorism (HP:0000316)-abnormal retinal apoptosis (MP:0006072), 	Low-set, posteriorly rotated ears (HP:0000368)-abnormal(ly) decreased process quality inner ear morphogenesis (ZP:0008328), 	Proximity to TCTN2 associated with Meckel syndrome (ORPHA:564): Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Depressed nasal ridge (HP:0000457), Short nose (HP:0003196)-Depressed nasal ridge (HP:0000457), 	Proximity to TCTN2 Hypertelorism (HP:0000316)-microphthalmia (MP:0001297), Wide nose (HP:0000445)-cleft palate (MP:0000111), Short nose (HP:0003196)-cleft palate (MP:0000111), 	
TPTE	7179	0.5046	0.9945	0.7483	0.0000	0.0000	0.0000	0.5046	0.5046	1.0000	0					Proximity to IGF2BP1 Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Wide nose (HP:0000445)-short snout (MP:0000445), Short nose (HP:0003196)-short snout (MP:0000445), 	
ADGRA3	166647	0.5007	0.9973	0.7456	0.0000	0.0000	0.0000	0.5007	0.5007	1.0000	0				Proximity to PRKAR1A associated with Acrodysostosis (ORPHA:950): Short stature (HP:0004322)-Short stature (HP:0004322), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Short nose (HP:0003196), Short nose (HP:0003196)-Short nose (HP:0003196), 	Proximity to PRKAR1A Short stature (HP:0004322)-embryonic growth retardation (MP:0003984), 	
CSH1	1442	0.5021	0.9842	0.7250	0.0000	0.2425	0.0000	0.5021	0.5021	1.0000	0		Short stature (HP:0004322)-delayed sexual maturation (MP:0001938), 		Proximity to LIFR associated with Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome (OMIM:601559): Short stature (HP:0004322)-Short stature (HP:0004322), Broad neck (HP:0000475)-Short neck (HP:0000470), Low-set, posteriorly rotated ears (HP:0000368)-Low-set ears (HP:0000369), Wide nose (HP:0000445)-Short nose (HP:0003196), Short nose (HP:0003196)-Short nose (HP:0003196), 		
KIF27	55582	0.5484	0.9298	0.7213	0.0000	0.5484	0.0000	0.5022	0.5484	1.0000	0		Low-set, posteriorly rotated ears (HP:0000368)-increased susceptibility to otitis media (MP:0001850), Wide nose (HP:0000445)-abnormal internal nares morphology (MP:0002236), Short nose (HP:0003196)-abnormal internal nares morphology (MP:0002236), 		Proximity to GLI3 associated with Pallister-Hall syndrome (ORPHA:672): Short stature (HP:0004322)-Short stature (HP:0004322), Broad neck (HP:0000475)-Bifid epiglottis (HP:0010564), Low-set, posteriorly rotated ears (HP:0000368)-Low-set, posteriorly rotated ears (HP:0000368), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Short nose (HP:0003196), Short nose (HP:0003196)-Short nose (HP:0003196), 	Proximity to GLI3 Short stature (HP:0004322)-short tibia (MP:0002764), Low-set, posteriorly rotated ears (HP:0000368)-abnormal ear position (MP:0000023), Hypertelorism (HP:0000316)-abnormal eye development (MP:0001286), Wide nose (HP:0000445)-cleft palate (MP:0000111), Short nose (HP:0003196)-cleft palate (MP:0000111), 	
COL6A6	131873	0.5018	0.9447	0.6464	0.0000	0.0000	0.0000	0.5018	0.5018	1.0000	0				Proximity to ITGA8 associated with Renal agenesis, bilateral (ORPHA:1848): Low-set, posteriorly rotated ears (HP:0000368)-Low-set ears (HP:0000369), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Wide nose (HP:0000445)-Depressed nasal ridge (HP:0000457), Short nose (HP:0003196)-Depressed nasal ridge (HP:0000457), 	Proximity to ITGA8 Low-set, posteriorly rotated ears (HP:0000368)-abnormal vestibular hair cell stereociliary bundle morphology (MP:0004515), Wide nose (HP:0000445)-abnormal pulmonary elastic fiber morphology (MP:0003209), Short nose (HP:0003196)-abnormal pulmonary elastic fiber morphology (MP:0003209), 	
